id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment,sentiment_probs,emotion,emotion_probs,month,juicio
1374523270481911817,1374523270481911817,2021-03-23 21:47:39 -03,2021-03-23,21:47:39,-300,1037618616,analiapeloni,Analia Peloni,,"#Libertadresponsable
#Uruguaysevacuna
#YoSiLoVoté",qht,[],[],[],0,0,1,"['libertadresponsable', 'uruguaysevacuna', 'yosilovoté']",[],https://twitter.com/AnaliaPeloni/status/1374523270481911817,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEG,"{'NEG': 0.5637980103492737, 'NEU': 0.3796280026435852, 'POS': 0.056573979556560516}",others,"{'others': 0.8606629371643066, 'joy': 0.08514125645160675, 'sadness': 0.00732777314260602, 'anger': 0.020122883841395378, 'surprise': 0.01198316179215908, 'disgust': 0.011081608943641186, 'fear': 0.0036804163828492165}",2021-03,NEG
1374470907402461195,1373856278385135616,2021-03-23 18:19:35 -03,2021-03-23,18:19:35,-300,591383423,caterinamusse,Caterina  Musse,,@GabyPdelD Porq el presidente se cuida y hace lo q dice #libertadresponsable @LuisLacallePou,es,"['gabypdeld', 'luislacallepou']",[],[],1,1,2,['libertadresponsable'],[],https://twitter.com/caterinamusse/status/1374470907402461195,,,0,,,,,,,,"{'user_id': '955796343947251713', 'username': 'GabyPdelD'}",,,,,NEU,"{'NEG': 0.3751629889011383, 'NEU': 0.5976492166519165, 'POS': 0.027187811210751534}",others,"{'others': 0.8235186338424683, 'joy': 0.03479714319109917, 'sadness': 0.005755762569606304, 'anger': 0.10080799460411072, 'surprise': 0.013124764896929264, 'disgust': 0.0183576587587595, 'fear': 0.0036380470264703035}",2021-03,NEU
1374470152389939209,1374164095172292608,2021-03-23 18:16:35 -03,2021-03-23,18:16:35,-300,591383423,caterinamusse,Caterina  Musse,,"@NeyCastillo9 No estoy de acuerdo a un gobierno q sanciona y nos obligue cuarentena, tanto nos cuesta asumir una #libertadresponsable? Q salga a trabajar con cuidado quien tiene q hacerlo , Tanto cuesta suspender fiestas y reuniones por un periodo q ahora por suerte ve luz con vacuna",es,['neycastillo9'],[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/caterinamusse/status/1374470152389939209,,,0,,,,,,,,"{'user_id': '451637224', 'username': 'NeyCastillo9'}",,,,,NEG,"{'NEG': 0.9904330968856812, 'NEU': 0.008676757104694843, 'POS': 0.0008900798275135458}",anger,"{'others': 0.061268601566553116, 'joy': 0.006609106436371803, 'sadness': 0.010911725461483002, 'anger': 0.8511573672294617, 'surprise': 0.013216467574238777, 'disgust': 0.05132872238755226, 'fear': 0.005507995840162039}",2021-03,NEG
1374469095190523921,1374380219583266818,2021-03-23 18:12:23 -03,2021-03-23,18:12:23,-300,591383423,caterinamusse,Caterina  Musse,,@OPetinatti Piden medidas drásticas y q esperan ? Q vivamos de la teta del estado ? Un estado endeudado q dejó el FA y q ahora pretenden que ? Hacer como en argentina así la gente se escapa ? Por favor tanto nos cuesta asumir #libertadresponsable ? Tanto cuesta ? Somos 3 m,es,['opetinatti'],[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/caterinamusse/status/1374469095190523921,,,0,,,,,,,,"{'user_id': '178120611', 'username': 'OPetinatti'}",,,,,NEG,"{'NEG': 0.996859073638916, 'NEU': 0.0025654700584709644, 'POS': 0.0005754317971877754}",anger,"{'others': 0.028453579172492027, 'joy': 0.0027916806284338236, 'sadness': 0.00889206025749445, 'anger': 0.8753095865249634, 'surprise': 0.005948033183813095, 'disgust': 0.07367489486932755, 'fear': 0.004930069670081139}",2021-03,NEG
1374324533331640323,1374306776384991232,2021-03-23 08:37:57 -03,2021-03-23,08:37:57,-300,1087472402303537158,rluraschi1811,TanaManya 💛⚫💛🇺🇾🇮🇹,,"@pablorflores @milet481 El 11/03 la suerte ya estaba echada.
Esa marcha de femilocas nunca se debió permitir, el marco legal estaba, la opinión de la mayoriá era favorable a prohibirla, pero claro...lo #politicamentecorrecto 
La #libertadresponsable  no funciona con simios y así estamos 😪",es,"['pablorflores', 'milet481']",[],[],1,0,2,"['politicamentecorrecto', 'libertadresponsable']",[],https://twitter.com/rluraschi1811/status/1374324533331640323,,,0,,,,,,,,"{'user_id': '120145531', 'username': 'pablorflores'}",,,,,NEG,"{'NEG': 0.9880256056785583, 'NEU': 0.01142138335853815, 'POS': 0.0005529789486899972}",anger,"{'others': 0.1445271372795105, 'joy': 0.006015400867909193, 'sadness': 0.012159314006567001, 'anger': 0.7321695685386658, 'surprise': 0.005967931356281042, 'disgust': 0.09615921229124069, 'fear': 0.003001372329890728}",2021-03,NEG
1374320106239561731,1374320106239561731,2021-03-23 08:20:21 -03,2021-03-23,08:20:21,-300,2607012946,majofajardo71,Majo F 🇺🇾🕊️,,"Si podés, #QuedateEnCasa

Somos grandes, no hace falta que el gobierno te lo pida, exija u ordene.

Hace 1 año q convivimos con el COVID, información sobra.
#LibertadResponsable
#UruguaySeVacuna
💪🇺🇾",es,[],[],[],1,5,12,"['quedateencasa', 'libertadresponsable', 'uruguaysevacuna']",[],https://twitter.com/majofajardo71/status/1374320106239561731,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.012734810821712017, 'NEU': 0.7914693355560303, 'POS': 0.19579584896564484}",others,"{'others': 0.5128006935119629, 'joy': 0.43794506788253784, 'sadness': 0.00982788298279047, 'anger': 0.027598638087511063, 'surprise': 0.004420915152877569, 'disgust': 0.005970996804535389, 'fear': 0.0014358244370669127}",2021-03,NEU
1374167470605488128,1374167470605488128,2021-03-22 22:13:50 -03,2021-03-22,22:13:50,-300,219139884,adighiero,Agustín Dighiero,,"En el peor día de #pandemia desde q el #covid llego a #Uruguay agradezco tener trabajo, poder teletrabajar y poder cuidarme. 
.
Los q tienen que salir a trabajar xq no tienen remedio q puedan salir. 
.
De esta salimos entre todos 
.
#LibertadResponsable 
#NosCuidamosEntreTodos https://t.co/GNsKyDNt4K",es,[],[],['https://pbs.twimg.com/media/ExIGBWcWgAI9dap.jpg'],0,0,1,"['pandemia', 'covid', 'uruguay', 'libertadresponsable', 'noscuidamosentretodos']",[],https://twitter.com/adighiero/status/1374167470605488128,,,1,https://pbs.twimg.com/media/ExIGBWcWgAI9dap.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.2500113546848297, 'NEU': 0.4320160150527954, 'POS': 0.3179726302623749}",joy,"{'others': 0.04141705110669136, 'joy': 0.9269785284996033, 'sadness': 0.01885824464261532, 'anger': 0.005465586204081774, 'surprise': 0.003825542749837041, 'disgust': 0.0018570251995697618, 'fear': 0.0015980094904080033}",2021-03,POS
1374012906635952133,1373819652061720578,2021-03-22 11:59:39 -03,2021-03-22,11:59:39,-300,1344080943280230401,pilar84819714,Pilar,,"@riverafrutos Y las fiestas hasta 100 pers al aire libre y 80 en locales cerrados.
#libertadresponsable o #salvesequienpueda
@LuisLacallePou @DrDanielSalinas 

Salinas! Hacé entrar en razones!",es,"['riverafrutos', 'luislacallepou', 'drdanielsalinas']",[],[],0,0,1,"['libertadresponsable', 'salvesequienpueda']",[],https://twitter.com/Pilar84819714/status/1374012906635952133,,,0,,,,,,,,"{'user_id': '1155561984642945025', 'username': 'riverafrutos'}",,,,,NEG,"{'NEG': 0.7819159626960754, 'NEU': 0.20891080796718597, 'POS': 0.009173198603093624}",anger,"{'others': 0.408951073884964, 'joy': 0.03763376176357269, 'sadness': 0.02045619860291481, 'anger': 0.43128108978271484, 'surprise': 0.03584854677319527, 'disgust': 0.05493759363889694, 'fear': 0.010891729965806007}",2021-03,NEG
1374003889784119313,1374003889784119313,2021-03-22 11:23:49 -03,2021-03-22,11:23:49,-300,2804056257,fernandorod_uy,🇺🇾🏳️👉 FERNANDO RODRÍGUEZ,,"👉 YO APOYO AL #PresidenteLacalle!!
Ahora
Después que mandaron a las ovejas a hacer MARCHAS, tamborileadas, ""fiestas"" clandestinas (droga)...
Ahora
Piden ""medidas restrictivas"" de la libertad
QUE NO TRABAJES
QUE TU HIJO NO ESTUDIE
👉 #LibertadResponsable
#TAPABOCAS y a laburar‼️",es,[],[],[],3,24,52,"['presidentelacalle', 'libertadresponsable', 'tapabocas']",[],https://twitter.com/FernandoROD_UY/status/1374003889784119313,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.022731728851795197, 'NEU': 0.9161721467971802, 'POS': 0.061096083372831345}",anger,"{'others': 0.13385368883609772, 'joy': 0.01816972903907299, 'sadness': 0.010984504595398903, 'anger': 0.7238340377807617, 'surprise': 0.007488792296499014, 'disgust': 0.10189926624298096, 'fear': 0.003770003095269203}",2021-03,NEG
1373963834537484295,1373671534552825858,2021-03-22 08:44:39 -03,2021-03-22,08:44:39,-300,792233472,taniadelche,Tania del Che,,@bruno_telesca_ La #LibertadResponsable de llevar el mate no me la quita nadie.,es,[],[],[],1,0,0,['libertadresponsable'],[],https://twitter.com/taniadelche/status/1373963834537484295,,,0,,,,,,,,"{'user_id': '792233472', 'username': 'taniadelche'}",,,,,NEU,"{'NEG': 0.004417654126882553, 'NEU': 0.8435419797897339, 'POS': 0.15204040706157684}",others,"{'others': 0.6676185131072998, 'joy': 0.27940884232521057, 'sadness': 0.009337270632386208, 'anger': 0.010024119168519974, 'surprise': 0.024615474045276642, 'disgust': 0.005705351009964943, 'fear': 0.003290374530479312}",2021-03,NEU
1373778026509516802,1373631403670310915,2021-03-21 20:26:19 -03,2021-03-21,20:26:19,-300,1280659027844837383,theblac05536633,TheBlackCat 💉 (Modo: Vacunado 3/3),,"@ProfeLagrotta La educación sería el remedio.
No hay Libertad posible sin educación; sin entender que existen las obligaciones, que el otro es sujeto de derechos.
Educación en el respeto.

Eso de la #LibertadResponsable es una redundancia.",es,['profelagrotta'],[],[],0,1,1,['libertadresponsable'],[],https://twitter.com/TheBlac05536633/status/1373778026509516802,,,0,,,,,,,,"{'user_id': '125774523', 'username': 'ProfeLagrotta'}",,,,,NEU,"{'NEG': 0.2631222903728485, 'NEU': 0.729523241519928, 'POS': 0.007354571018368006}",others,"{'others': 0.7893070578575134, 'joy': 0.010503578931093216, 'sadness': 0.014345726929605007, 'anger': 0.15023981034755707, 'surprise': 0.009404681622982025, 'disgust': 0.02261418104171753, 'fear': 0.0035849029663950205}",2021-03,NEU
1373759364335538176,1373759364335538176,2021-03-21 19:12:10 -03,2021-03-21,19:12:10,-300,219139884,adighiero,Agustín Dighiero,,"Si tendremos que valorar la #LibertadResponsable que aplicamos en #Uruguay 🇺🇾 contra el #covid 
.
Sistema de salud de Paraguay al límite y crece descontento global por medidas anticovid https://t.co/bmHqWco8OS",es,[],['https://www.elobservador.com.uy/nota/el-sistema-de-salud-paraguayo-esta-al-limite-y-crecen-las-protestas-en-el-mundo-por-confinamiento-2021321131311'],[],0,0,0,"['libertadresponsable', 'uruguay', 'covid']",[],https://twitter.com/adighiero/status/1373759364335538176,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.46437427401542664, 'NEU': 0.5307835340499878, 'POS': 0.004842136986553669}",others,"{'others': 0.9563464522361755, 'joy': 0.003499250626191497, 'sadness': 0.006408685818314552, 'anger': 0.006736624985933304, 'surprise': 0.01910270005464554, 'disgust': 0.0031622578389942646, 'fear': 0.0047439588233828545}",2021-03,NEU
1373671548175982600,1373671548175982600,2021-03-21 13:23:13 -03,2021-03-21,13:23:13,-300,2804056257,fernandorod_uy,🇺🇾🏳️👉 FERNANDO RODRÍGUEZ,,"🙁👉 SEAMOS RESPONSABLES
👉 Cuidemos nuestra libertad y la vida de nuestros seres queridos‼️
#LibertadResponsable
#ConMáscaraTapabocas! https://t.co/k4OMzMiMUj",es,[],[],['https://pbs.twimg.com/media/ExBC_P8WUAY_j6n.jpg'],0,5,10,"['libertadresponsable', 'conmáscaratapabocas']",[],https://twitter.com/FernandoROD_UY/status/1373671548175982600,,,1,https://pbs.twimg.com/media/ExBC_P8WUAY_j6n.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.019488921388983727, 'NEU': 0.9428182244300842, 'POS': 0.03769293427467346}",sadness,"{'others': 0.008787163533270359, 'joy': 0.000891942298039794, 'sadness': 0.977820098400116, 'anger': 0.006046976428478956, 'surprise': 0.0006898794090375304, 'disgust': 0.0022814697585999966, 'fear': 0.003482578555122018}",2021-03,NEG
1373279052916793347,1372923039629856770,2021-03-20 11:23:35 -03,2021-03-20,11:23:35,-300,219139884,adighiero,Agustín Dighiero,,"Confirmo la excelente atención del @mcirculoc : hoy me levanté con un SMS con el resultado de mi test de #Covid 
.
Ahora a seguirnos cuidando! 
.
#LibertadResponsable #NosCuidamosEntreTodos #Uruguay https://t.co/DNzDE2katT",es,['mcirculoc'],[],['https://pbs.twimg.com/media/Ew7eA6gWYAcqIkc.jpg'],1,0,2,"['covid', 'libertadresponsable', 'noscuidamosentretodos', 'uruguay']",[],https://twitter.com/adighiero/status/1373279052916793347,,,1,https://pbs.twimg.com/media/Ew7eA6gWYAcqIkc.jpg,,,,,,,"{'user_id': '219139884', 'username': 'adighiero'}",,,,,POS,"{'NEG': 0.0023529529571533203, 'NEU': 0.04416101798415184, 'POS': 0.9534860253334045}",joy,"{'others': 0.020439911633729935, 'joy': 0.9738908410072327, 'sadness': 0.0007831662078388035, 'anger': 0.0008711308473721147, 'surprise': 0.0029612616635859013, 'disgust': 0.0006099432939663529, 'fear': 0.0004437651950865984}",2021-03,POS
1372602651712614407,1372539796321669121,2021-03-18 14:35:48 -03,2021-03-18,14:35:48,-300,1901838001,bigotexo,geronimo,,@Agus_gonzalez__ #libertadresponsable,qme,['agus_gonzalez__'],[],[],0,0,0,['libertadresponsable'],[],https://twitter.com/bigotexo/status/1372602651712614407,,,0,,,,,,,,"{'user_id': '1246656969777328128', 'username': 'Agus_gonzalez__'}",,,,,NEU,"{'NEG': 0.19231776893138885, 'NEU': 0.7702979445457458, 'POS': 0.037384282797575}",anger,"{'others': 0.3461877107620239, 'joy': 0.0823315978050232, 'sadness': 0.024354824796319008, 'anger': 0.3749306797981262, 'surprise': 0.0657571405172348, 'disgust': 0.08810575306415558, 'fear': 0.01833236962556839}",2021-03,NEG
1372547589434904576,1372547589434904576,2021-03-18 10:57:00 -03,2021-03-18,10:57:00,-300,742523241399488513,defrente1303,deFRENTE 1303,,#GobiernoAusente #LibertadResponsable https://t.co/CP8fNegP8C,qme,[],[],['https://pbs.twimg.com/media/EwxEwcaXIAQGvmW.jpg'],0,8,13,"['gobiernoausente', 'libertadresponsable']",[],https://twitter.com/deFrente1303/status/1372547589434904576,,,1,https://pbs.twimg.com/media/EwxEwcaXIAQGvmW.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,,NEG,"{'NEG': 0.9131158590316772, 'NEU': 0.08307923376560211, 'POS': 0.0038049251306802034}",others,"{'others': 0.6139313578605652, 'joy': 0.013340091332793236, 'sadness': 0.03276371955871582, 'anger': 0.2575087547302246, 'surprise': 0.014781898818910122, 'disgust': 0.05544453486800194, 'fear': 0.012229615822434425}",2021-03,NEG
1372243686197760000,1372243686197760000,2021-03-17 14:49:24 -03,2021-03-17,14:49:24,-300,219139884,adighiero,Agustín Dighiero,,"Un día todo esto va a pasar y espero poder decir orgullosamente que vivo en un país donde siempre se priorizo la #Libertad 
.
#Uruguay 🇺🇾 
#LibertadResponsable 
#Coronavirus #Covid",es,[],[],[],0,0,1,"['libertad', 'uruguay', 'libertadresponsable', 'coronavirus', 'covid']",[],https://twitter.com/adighiero/status/1372243686197760000,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.028841575607657433, 'NEU': 0.7574637532234192, 'POS': 0.21369463205337524}",joy,"{'others': 0.04670248553156853, 'joy': 0.9452546834945679, 'sadness': 0.002413448179140687, 'anger': 0.0011673466069623828, 'surprise': 0.0029106589499861, 'disgust': 0.0007638511597178876, 'fear': 0.0007875608280301094}",2021-03,POS
1372182442694615040,1372182442694615040,2021-03-17 10:46:02 -03,2021-03-17,10:46:02,-300,139757922,rolando_manuel,Rolando Manuel,,"La solidaridad de corazón, es un bien muy escaso en nuestros tiempos #libertadresponsable #yosimevacuno #CoronavirusEnUruguay",es,[],[],[],0,0,0,"['libertadresponsable', 'yosimevacuno', 'coronavirusenuruguay']",[],https://twitter.com/Rolando_Manuel/status/1372182442694615040,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,,NEU,"{'NEG': 0.3738265633583069, 'NEU': 0.6057074069976807, 'POS': 0.020466085523366928}",others,"{'others': 0.7464907765388489, 'joy': 0.024462305009365082, 'sadness': 0.07598023861646652, 'anger': 0.11442164331674576, 'surprise': 0.006902550812810659, 'disgust': 0.025266265496611595, 'fear': 0.006476105656474829}",2021-03,NEU
